,Covidence #,Study ID,Title,Reviewer Name,Title,"Author, Year",Study Design,Population description,Geographic location,Focused on a vulnerable population?,Health categories,Climate categories,Policy/Intervention Level,3 Words about Policy/Intervention,Data Sources,Notes
,2939,Farzan 2024,Cohort profile: The Assessing Imperial Valley Respiratory Health and the Environment (AIRE) study.,Consensus,Cohort profile: The Assessing Imperial Valley Respiratory Health and the Environment (AIRE) study,"Farzan, 2024",Research study; Other: The Children's Assessing Imperial Valley Respiratory Health and the Environment (AIRE) study is a prospective cohort study ,"children had to be enrolled in 1st, 2nd or 3rd grade in the selected schools and speak English or Spanish.","In the Imperial Valley, a rural border region in southeastern CA.","Children; Other: residents are >80% Latino, face a 20% unemployment rate and 1 in 3 children live in poverty. ",Pulmonary,"Air quality; Other: These vulnerable communities contend with poor air quality and excess levels of ambient coarse particulate matter (PM10), with concentrations reaching 10 times the federal limit",None; State,"public education, inform policy makers",,"We observed a high prevalence of respiratory symptoms among this cohort, including allergies, bronchitic symptoms, wheezing and asthma diagnosis, which exceed both CA and US prevalence estimates for children."
,6332,El-Mousawi 2023,The Impact of Flood Adaptation Measures on Affected Population's Mental Health: A mixed method Scoping Review,Consensus,The Impact of Flood Adaptation Measures on Affected Population’s Mental Health: A mixed method Scoping Review,"El-Mousawi, 2023",Systematic review; Research study,The study population was defined as flood victims. any record not written in English or French was excluded,"United States of America, china, Austria, Australia, UK, Germany",No,Mental health; Other: document the existing studies on flood adaptation measures and their impact on the mental health of affected populations,Flood,Other,"identified various components of social capital as driving factors of resilience in flood victims. Social capital can be broadly defined as the social ties, social cohesion and social networking of an individual that facilitates collective action. ",,"decisions by governments and authorities influence the resilience of affected individuals and communities. So far, this topic remained unexplored."
,6317,Pavelack 2023,Characterizing Social and Environmental Factors in a Pediatric Asthma Cohort,Consensus,Characterizing Social and Environmental Factors in a Pediatric Asthma Cohort,"Pavelack, 2023",Research study,Retrospective cohort of children with asthma ,USA,People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),Pulmonary,Heat; Drought; Fire; Air quality; Pollen,Other: Clinical,,"Social Vulnerability index , Area Deprivation Index, Electronic Medical Records",Examines history of redlining as means to address systematic issues that are going to be worsened by climate change. Suggests dosing before severe weather events interventions
,2994,Ryu 2024,COPD Exposed to Air Pollution: A Path to Understand and Protect a Susceptible Population.,Consensus,COPD Exposed to Air Pollution A Path to Understand and Protect a Susceptible Population,"Min Hyung Ryu, 2024",Systematic review,COPD populations ,North America,People w/pre-existing condition ,Pulmonary,Heat; Fire; Air quality,Other: Clinical,,,
,3515,McCann 2023,Differences in county-level cardiovascular disease mortality rates due to damage caused by hurricane Matthew and the moderating effect of social capital: a natural experiment.,Consensus,Differences in county-level cardiovascular disease mortality rates due to damage caused by hurricane Matthew and the moderating effect of social capital: a natural experiment,"Zachary H. McCann, 2023",Research study,,United States,,Cardiovascular,Flood; Storm; Water contamination; Food contamination,None,,"CDC WONDER , Federal Emergency Management Agency ,   US Census Bureau,FBI Uniform Crime Reporting Statistics 
",
,3459,Taylor 2021,A framework for estimating the United States depression burden attributable to indoor fine particulate matter exposure.,Consensus,A framework for estimating the United States depression burden attributable to indoor fine particulate matter exposure,"Taylor, 2021",Research study,US population ,US,No,Mental health,Air quality,None,,,Establishes a connection between indoor PM2.5 pollution and adult depression with a model that is modifiable to local areas and provides potential solutions to improve the built environment.
,8961,Parwez 2024,ASSESSING THE INTERPLAY BETWEEN CLIMATE CHANGE AND AIR POLLUTION AND ITS IMPLICATIONS FOR HUMAN HEALTH AND ECOSYSTEM SUSTAINABILITY,Consensus,ASSESSING THE INTERPLAY BETWEEN CLIMATE CHANGE AND AIR POLLUTION AND ITS IMPLICATIONS FOR HUMAN HEALTH AND ECOSYSTEM SUSTAINABILITY,Parwez 2024,Research study,US,US,No,Cardiovascular,Air quality,Other: Global,,,global effects of air pollution on cardiovascular health. including 5 studies from the US
,3421,Koopmans 2022,Health risks and mitigation strategies from occupational exposure to wildland fire: a scoping review.,Consensus,Health risks and mitigation strategies from occupational exposure to wildland fire: a scoping review,"Erica Koopmans, 2022",Systematic review,Wildland firefighters,Global,Workers,Cardiovascular; Pulmonary; Physical activity; Mental health,Heat; Fire; Air quality; Food contamination,None,,,
,3401,Golitaleb 2022,Prevalence of Post-traumatic Stress Disorder After Flood: A Systematic Review and Meta-Analysis.,Consensus,"Prevalence of Post-traumatic Stress
Disorder After Flood: A Systematic
Review and Meta-Analysis",Golitaleb 2022,Systematic review,,,No,Mental health,Flood,None,,,"prevalence of PTSD in flood victims is 29.48% (95% CI: 18.64–40.31, I2 = 99.3%, p-value < 0.001)"
,3396,LafargaPrevidi 2022,The Impact of Natural Disasters on Maternal Health: Hurricanes Irma and Maria in Puerto Rico.,Consensus,The Impact of Natural Disasters on Maternal Health: Hurricanes Irma and Maria in Puerto Rico.,"LafargaPrevidi, 2022",Research study,"PROTECT participants
who were pregnant during hurricanes Irma or Maria or who became pregnant shortly after. between 1 September 2017 and 20 March 2018", North Karst Region of the Puerto Rico. ,Pregnant persons/ people of childbearing age; Socially-vulnerable (e.g. low wealth); Other: and post-partum ,Mental health,Other: natural disaster Hurricanes Irma and María ,None,-,,"disruption in access to basic services such as electricity, water, Wi-Fi, food and gasoline due to natural disasters has a unique
impact on the physical and mental health of pregnant and post-partum women.

Economically vulnerable populations are usually not prepared for hurricanes.

Pregnant and post-partum women are more vulnerable in comparison to the general population due to the physiological and psychological changes"
,3393,Basith 2022,The Impact of Fine Particulate Matter 2.5 on the Cardiovascular System: A Review of the Invisible Killer.,Consensus,"
The Impact of Fine Particulate Matter 2.5 on the Cardiovascular
System: A Review of the Invisible Killer","Shaherin Basith, 2022",Research study,Global,Global,No,Cardiovascular,Air quality,None,PM 2.5 Cardiovascular health,,This is more clinical breakdown of air pollution on cardiovascular health but contains aspects of governmental mitigation strategies
,3342,Hernandez-Torres 2023,The impact of the Covid-19 pandemic and previous natural disasters on the mental health of healthcare workers in Puerto Rico.,Consensus,"The impact of the Covid-19 pandemic and
previous natural disasters on the mental
health of healthcare workers in Puerto Rico","Ruthmarie Hernández-Torres, 2023",Research study,,Puerto Rico,No,,Storm,None,,COVID-19 HEalth Care wOrkErS (HEROES) Study,
,3329,Anneser 2024,"Climate stress and anxiety, environmental context, and civic engagement: A nationally representative study.",Consensus,"Climate stress and anxiety, environmental context, and civic engagement: A nationally representative study","Anneser, 2024",Research study,"1,071 participants from a nationally representative population of all non-institutionalized adults in the U.S. ",US,No,Mental health,Heat; Air quality,None,,"Tufts Equity in Health, Wealth, and Civic Engagement Study of US adults",
,6111,Smirnova 2023,"Climate Change, Air Quality, and Pulmonary Health Disparities",Consensus,"Climate Change, Air Quality, and Pulmonary Health Disparities","Natalia Smirnova , 2023",Research study,,global us focus,People w/pre-existing condition ,Pulmonary,Air quality; Pollen,Other: Global,Greenhouse Gas Mitigation,,Also suggests pulminary health workers reduce their own emissions in the health care sector and educate about risks
,3297,Hahn 2021,Wildfire Smoke Is Associated With an Increased Risk of Cardiorespiratory Emergency Department Visits in Alaska.,Consensus,Wildfire Smoke Is Associated With an Increased Risk of Cardiorespiratory Emergency Department Visits in Alaska,"Hahn, 2021",Research study,,AK,Indigenous community member,Cardiovascular; Pulmonary,Fire; Air quality,None,,,"On the day of exposure to WFS PM2.5, there was an increased odds of asthma-related ED visits among 15–65 year olds 
(OR = 1.12, 95% CI = 1.08, 1.16), people >65 years (OR = 1.15, 95% CI = 1.01, 1.31), among Alaska Native people (OR = 1.16, 95% CI = 1.09, 1.23), and in Anchorage (OR = 1.10, 95% CI = 1.05, 1.15) and Fairbanks (OR = 1.12, 95% CI = 1.07, 1.17). There was an increased risk of heart failure related ED visits for Alaska Native people (Lag Day 5 OR = 1.13, 95% CI = 1.02, 1.25). We found evidence that rural populations may delay seeking care"
,3291,Auchincloss 2024,Adolescent mental distress in the wake of climate disasters.,Consensus,Adolescent mental distress in the wake of climate disasters,"Auchincloss, 2024",Research study,"38,616 high-school students residing in 22 urban public-school districts in 
14 states",US,Children,Mental health,Flood; Drought; Storm; Fire; Air quality; Pollen; Water contamination; Food contamination,None,,"U.S. Federal Emergency Management Agency’s (FEMA), federal disaster declaration database (National Emergency Management Information System,  U.S. Census American Community Survey 2015–2019, U.S. Youth Risk Behavior Survey, 2019",
,8863,Arok 2024,A Mixed Method Study to Explore How Maintenance Personnel Can Enhance Wildfire Smoke Resilience at Long-Term Care Facilities in the US Mountain West,Consensus,A Mixed Method Study to Explore How Maintenance Personnel Can Enhance Wildfire Smoke Resilience at Long-Term Care Facilities in the US Mountain West,"Arok, 2024",Research study,,Western US,Elderly ,Pulmonary,Fire; Air quality,Other: health facility,maintenance personnel training/ workshop,,
,4605,Perera 2020,Co-Benefits to Children's Health of the U.S. Regional Greenhouse Gas Initiative.,Consensus,Co-Benefits to Children’s Health of the U.S. Regional Greenhouse Gas Initiative,"Perera, 2020",Research study,Residents of the Northeast,"Northeast, USA",Children,Cardiovascular; Pulmonary; Mental health,Air quality,Other: Regional,Aiming to reduce greenhouse gas emissions in Northeast,,"Evaluation of this policy and its benefits to children, shows how this was analyzed and can inform further policy."
,10069,Kenner 2020,The Climate-Ready Home: Teaching Climate Change in the Context of Asthma Management,Consensus,The Climate-Ready Home: Teaching Climate Change in the Context of Asthma Management,Kenner 2020,Research study,vulnerable local communities in Philly,Pennsylvania,"Other: vulnerable population, no specification",Pulmonary,Air quality,State,a public education project ,,
,3170,McArdle 2023,"Asthma-Associated Emergency Department Visits During the Canadian Wildfire Smoke Episodes - United States, April- August 2023.",Consensus,"Asthma-Associated Emergency Department Visits During the Canadian Wildfire Smoke Episodes — United States, April– August 2023","McArdle, 2023",Government paper or tool,Those admitted to the emergency department due to wildfires,US,No,Pulmonary,Fire,None,,National Syndromic Surveillance Program data,Can inform emergency policy and preparedness in areas that did not formerly experience wildfire smoke.
,6370,Belz 2023,Cardiopulmonary Health Burden of Wildfire Particulate Exposure Urges Us to Consider Interventions,Consensus,Cardiopulmonary Health Burden of Wildfire Particulate Exposure Urges Us to Consider Interventions,Belz 2023,Editorial comment piece,California Residents,California,No,Pulmonary,Fire,State,,NA,Effect of widfire on pulmonary health and number of hospitalizations. Important for states with fire seasons
,6337,Balderas 2023,Brief Online Intervention Model Promotes Sustained Helping Behavior Across 6 Months Following a Population-Wide Traumatic Event,Consensus,Brief Online Intervention Model Promotes Sustained Helping Behavior Across 6 Months Following a Population-Wide Traumatic Event,"Balderas, 2023",Research study,University of Houston-Clear Lake (UHCL) students and employees,US,No,Mental health,Storm,State,"brief, online, self-administered motivational interviewing and mindful compassion intervention administered 4–10 weeks post-Hurricane ",,intervention might sustain helping behaviors after a natural disaster
,3131,Lugo 2023,A Closer Look at Indirect Causes of Death After Hurricane Maria Using a Semiparametric Model.,Consensus,A Closer Look at Indirect Causes of Death After Hurricane Maria Using a Semiparametric Model,"Lugo, 2023",Research study,Puerto Rico residents,Puerto Rico,No,Cardiovascular; Pulmonary,Storm,None,,,Informs about significant excess deaths due to Hurricane Maria.
,3106,Thompson 2023,Ambient temperature and mental health: a systematic review and meta-analysis.,Consensus,Ambient temperature and mental health: a systematic review and meta-analysis,"Thompson, 2023",Systematic review,,Global,No,Mental health,Heat,None,,,Increased temperature and variability can be associated with higher indicators of poor mental health.
,5959,Mukherji 2023,Perspectives of local public officials on the health hazards of compound flooding in Eastern North Carolina,Consensus,"
Perspectives of local public officials on the health hazards of compound 
flooding in Eastern North Carolina ",Mukherji 2023,Research study,Eastern North Carolina (ENC) Residents,Eastern North Carolina (ENC),Children; Pregnant persons/ people of childbearing age; Elderly ; People w/pre-existing condition ,Mental health,Flood,State,,"full-day focus group workshops, both conducted at the ECU 
campus in Greenville, NC",Local public health officials perspectives during disasters
,5315,Jerrett 2024,"Climate change and public health in California: A structured review of exposures, vulnerable populations, and adaptation measures",Consensus,"Climate change and public health in California: A structured review of exposures, vulnerable populations, and adaptation measures",Jerrett 2024,Research study; Other: review,Californians,california,Children; Pregnant persons/ people of childbearing age; Elderly ; Workers; People w/pre-existing condition ; Socially-vulnerable (e.g. low wealth),,Heat; Flood; Fire; Air quality,State,prohibiting development in flood zones,,"- Access to AC is a challenge because penetration across California and the United States is inequitable, with less access for low-income and racially-minoritized populations.

- Retreating from flood-prone areas or prohibiting development in flood zones can limit future populations at risk of flooding.

- Green space management in agricultural areas, parks, recreation areas, or other managed open spaces in the wildland–urban interface can reduce wildfire risk in California (79). Buffering the landscape with less flammable land uses and fuel reduction can reduce wildfire spread.

- air filtration technology.

- early dust warning advisory."
,4881,Adeyeye 2019,Estimating policy-relevant health effects of ambient heat exposures using spatially contiguous reanalysis data.,Consensus,"Estimating policy-relevant health effects
of ambient heat exposures using spatially
contiguous reanalysis data","Adeyeye, 2019",Research study,Rural and Urban New York Residents ,United States ,No,Cardiovascular; Other,Heat,State,lowered heat advisory threshold," Environmental Protection Agency’s (EPA)
downscaler (DS) model, American Community Survey. New York City (NYC), Automated Surface Observing System (ASOS), The North American Land Data Assimilation System (NLDAS), New York
State Department of Health’s Statewide Planning and Research Cooperative System (SPARCS) inpatient and outpatient dataset, NYS Street Address Map-
ping (SAM)","Heat events can still be dangerous outside of the hottest months of the year, people may be less prepared. Heat advisories should be local and regional offices should work together, looking outside urban areas revealed flaws with the 2-hour long heat advisory threshold. Heat management advice resources for rural areas are needed."
,4565,Ingram 2021,State Preparedness for Crisis Standards of Care in the United States: Implications for Emergency Management.,Consensus,"State Preparedness for Crisis Standards of Care
in the United States: Implications for Emergency
Management","Annie E. Ingram, 2020",Research study,,US,No,,Flood; Storm; Fire; Water contamination; Food contamination,State,State disaster preparedness,,No mention of climate change however
,3083,Rahmani 2023,Youth Suicidality in the Context of Disasters.,Consensus,Youth Suicidality in the Context of Disasters,Rahmani 2023,Research study,US,US,Children,Mental health,Storm; Fire,None,,NA,Effects of different disasters on child and adolescent mental health
,4353,Torres-Mendoza 2021,"Community Assessment for Mental and Physical Health Effects After Hurricane Irma - Florida Keys, May 2019.",Consensus,"Community Assessment for Mental and Physical Health Effects After 
Hurricane Irma — Florida Keys, May 2019",Torres-Mendoza 2021,Government paper or tool,Florida Keys (Monroe County) ,Florida Keys (Monroe County) ,No,Pulmonary; Mental health,Storm,State,,consenting adult member from 231 households ,Community health assessment through a questionnaire by local and state health departments
,3037,Pavlacic 2024,Behavioral activation is associated with post-disaster mental health: Secondary longitudinal analysis from a population-based study.,Consensus,Behavioral activation is associated with post-disaster mental health: Secondary longitudinal analysis from a population-based study.,"Pavlacic, 2024",Research study,"Adults affected by Hurricanes Micheal, Florence, Maria, Irma, or Harvey",US,No,Mental health,Storm,None,,,Shows behavioral activation as an effective tool to relieve mental health symptoms post-disaster to inform climate change planning.
,3012,Kim 2024,Is residential exposure to oil refineries a novel contextual risk factor for coronary heart disease?.,Consensus,Is residential exposure to oil refineries a novel contextual risk factor for coronary heart disease?,"Honghyok Kim, 2-24",Research study,People living need oil refineries ,United States,No; Socially-vulnerable (e.g. low wealth),Cardiovascular,Air quality; Pollen; Food contamination,None,,,
,2763,El-Mousawi 2024,"The Impact of ""Soft"" and ""Hard"" Flood Adaptation Measures on Affected Population's Mental Health: A Mixed Method Scoping Review.",Consensus,The Impact of “Soft” and “Hard” Flood Adaptation Measures on Affected Population’s Mental Health: A Mixed Method Scoping Review,"El-Mousaawi, 2024",Systematic review,Individuals,Worlwide,No,Mental health,Flood,State,Public policies,,
,8885,Diallo 2024,Community perspectives on heat and health in Baltimore City,Consensus,Community perspectives on heat and health in Baltimore City ,Diallo,Research study,Residents,Baltimore City,No,Cardiovascular; Pulmonary,Heat,State; Local,Improving policy and infrastructure,,
,7493,Dolatabadi 2021,The impact of climate change on heart failure: A narrative review study,Consensus,The Impact of Climate Change on Heart Failure: A Narrative Review Study,"Kakaei, 2021",Systematic review,Individuals,Worldwide,No,Cardiovascular,Heat,State; Local,Setting guidelines,,
,6867,Chan 2022,"Why They Stayed and Why They Left—A Case Study from Ellicott City, MD after Flash Flooding",Consensus,"Why They Stayed and Why They Left—A Case Study from Ellicott City, MD after Flash Flooding","Chan, 2022",Research study,Residents,"Ellicott City, MD",No,Mental health,Flood,State; Local,Flood Response Efforts,,
,2936,Lipschutz 2024,Maternal mental health mediates the effect of prenatal stress on infant temperament: The Harvey Mom Study.,Consensus,Maternal mental health mediates the effect of prenatal stress on infant temperament: The Harvey Mom Study,"Lipschutz, 2024",Research study,women in Harvey Mom Study,"Houston, TX",Children; Pregnant persons/ people of childbearing age,Mental health; Other: infant temperament,Storm,None,,,suggest a psychological mechanism linking prenatal stress with specific temperamental characteristics via maternal mental health symptoms. Findings point to the importance of high-quality assessment and mental health services for vulnerable women and young children
,6421,Conrad 2023,The Era of Climate Change Medicine—Challenges to Health Care Systems,Consensus,"The Era of Climate Change Medicine—Challenges to
Health Care Systems","Conrad, 2023",Editorial comment piece,Individuals,Worldwide,No,Pulmonary; Physical activity,Heat; Air quality; Water contamination,State; Local,Community Resilience,,
,2916,Vazquez 2024,A network analysis of Hurricane Maria-related traumatic stress and substance use among Puerto Rican youth.,Consensus,A network analysis of Hurricane Maria–related traumatic stress and substance use among Puerto Rican youth,"Vásquez, 2023",Research study,Youths (grades 3-12),Puerto Rico,Children,Mental health,Storm,None,,,Examines markers of PTSD and its role in substance use after natural disasters and identifies two symptom communities: arousal and reactivity and avoidance and intrusion.
,5750,Brook 2024,N95 Respirators for Cardiovascular Protection During Wildfire Smoke Events,Consensus,N95 Respirators for Cardiovascular Protection During Wildfire Smoke Events,Brook 2024,Research study,US,Midwest/Eastern United States,No,Cardiovascular; Pulmonary,Heat; Fire,State; Local,,NA,"Importance of respirator use by public during wildfires, could inform reccomendations to local health departments for respirator use and costs associated with it."
,2895,Gunasekaran 2024,"Cardiovascular Imaging, Climate Change, and Environmental Sustainability.",Consensus,"Cardiovascular Imaging, Climate Change, and Environmental Sustainability.","Gunasekaran, 2024",Systematic review,,Global,No,Cardiovascular,Air quality,None,,,Reviews information on greenhouse gas emissions and cardiovascular health as well as the role of cardiac imagery on emissions and discusses future directions.
,2893,Flores 2024,Health Disparities in the Aftermath of Flood Events: A Review of Physical and Mental Health Outcomes with Methodological Considerations in the USA.,Consensus,Health Disparities in the Aftermath of Flood Events: A Review of Physical and Mental Health Outcomes with Methodological Considerations in the USA,"Aaron Flores, 2024",Systematic review; Research study,People exposed to flooding,US,Socially-vulnerable (e.g. low wealth),Physical activity; Mental health,Flood; Storm; Water contamination; Food contamination,None,,"Common flood exposure metrics included self-reported flooding, flood risk models, and satellite-based observations.","Seventy percent of studies lacked baseline health measurements or suitable alternatives, and only 19% incorporated community engagement into their research design."
,4166,Cowan 2022,Impact of Hurricanes on Children With Asthma: A Systematic Literature Review.,Consensus,Impact of Hurricanes on Children With Asthma: A Systematic Literature Review,"Cowan, 2021",Systematic review,Children w/ Asthma,US,Children; People w/pre-existing condition ,Pulmonary,Storm,State; Local,Disaster Preparedness Planning,,
,2866,Schwartz 2024,After Hurricane Maria: Effects of disaster trauma on Puerto Rican survivors on the U.S. mainland.,Consensus,After Hurricane Maria: Effects of Disaster Trauma on Puerto Rican Survivors on the U.S. Mainland,"Schwartz, 2024",Research study,Adult Puerto Rican Hurricane Maria survivors on U.S. mainland,US,Other: Those who experienced major weather event,Mental health,Storm,None,,,Indicates that trauma from a storm is connected to perceived cultural stress on the mainland and could lead to internalization and drinking problems. 
,2848,Isaac 2023,"Differences in Anxiety, Insomnia, and Trauma Symptoms in Wildfire Survivors from Australia, Canada, and the United States of America.",Consensus,"Differences in Anxiety, Insomnia, and Trauma Symptoms in
Wildfire Survivors from Australia, Canada, and the United States of America","Fadia Isaa, 2023",Research study,"126 wildfire survivors from USA, Canada, and Australia ",Global,No; Socially-vulnerable (e.g. low wealth),Mental health,Fire,None,,,
,2833,Strough 2024,Aging and Emotional Well-Being After Disasters: Vulnerability and Resilience.,Consensus,Aging and Emotional Well-Being After Disasters: Vulnerability and Resilience,"Strough, 2024",Research study,Adults in the US Gulf Coast Region,US,No,Mental health,Storm,None,,,"Demonstrates consistent findings of more depressive symptoms and younger ages, even controlled for the storm. "
,3758,Bikomeye 2022,The impact of greenspace or nature-based interventions on cardiovascular health or cancer-related outcomes: A systematic review of experimental studies.,Consensus,"The impact of greenspace or nature-based
interventions on cardiovascular health or
cancer-related outcomes: A systematic review
of experimental studies","Jean C. BikomeyeID1, Joanna S. Balza1, Jamila L. Kwarteng2,3, Andreas M. Beyer3,4,
Kirsten M. M. Beyer1, 2022",Systematic review,"mean age ranged from 10 years [103] to 80.3 years. Twenty (20) studies included both male and female participants, 7 included males only, 4 included only females.","most studies (16) were carried out in ASIA( Japan and china), 12 in Europe and 3 in North America.No study from other parts of the world (Africa, South America, and Austra-
lia) was identified. ",No; Children; Elderly ,"Cardiovascular; Physical activity; Other: cancer.  CVD outcomes include morbidity and mortality across different
CVD conditions. Cancer-related outcomes include different measures across the cancer con-
trol continuum including cancer risk, prevention, detection, diagnosis, treatment, survivor-
ship, end of life or mortality, as well as cancer-related QoL",Other,State; Local,"forest bathing, green exercise, garden-
ing, and nature viewing","Preferred Reporting Items for Systematic Reviews and Meta-Analyses
(PRISMA) 2020 "," this review suggests that forest bathing and gardening interventions
have the most beneficial outcomes  compared to other interventions (nature
viewing or green exercising) which are also beneficial, but to a less extent"
,3745,Callender 2022,"Economic and mental health impacts of multiple adverse events: Hurricane Harvey, other flooding events, and the COVID-19 pandemic.",Consensus,"Economic and mental health impacts of multiple adverse events: Hurricane Harvey, other flooding events, and the COVID-19 pandemic","Callender, 2022",Research study,Residents,Texas Residents and National Residents,No,Mental health,Flood; Storm,State; Local,Emergency Preparation/ Intervention,,
,3534,Sugg 2023,"Cascading disasters and mental health: The February 2021 winter storm and power crisis in Texas, USA.",Consensus,"Cascading disasters and mental health: The February 2021 winter storm and power crisis in Texas, USA.","Sugg, 2023",Research study,Residents,"Texas, USA",No,Mental health,Other: Extreme Cold Weather,State; Local,New Framework for Mental Health,,
,2780,Kazi 2024,Climate Change and Cardiovascular Health: A Systematic Review.,Consensus,Climate Change and Cardiovascular Health A Systematic Review,"Kazi, 2024",Systematic review,,,No,Cardiovascular,Heat; Drought; Storm,None,,,"Exposure to extreme temperature was associated with increased cardiovascular mortality and morbidity, but the magnitude varied with temperature and duration of exposure. Ground-level ozone amplified the risk associated with higher temperatures and vice versa. Extreme weather events, such as hurricanes, were associated with increased cardiovascular risk that persisted for many months after the initial event"
,3067,Henning 2024,Particulate Matter Air Pollution is a Significant Risk Factor for Cardiovascular Disease.,Consensus,Particulate Matter Air Pollution is a Significant Risk Factor for Cardiovascular Disease,"Henning, 2024",Editorial comment piece,,,No,Cardiovascular; Pulmonary,Air quality,State; Local; Other: Personal,Protect Self and Policies,Environmental Protection Agency’s Air Quality Index,
,10117,Lu 2020,Interaction effect of air pollution and environmental temperature on childhood asthma,Consensus,Interaction effect of air pollution and environmental temperature on childhood asthma,Lu 2020,,,,Children,Pulmonary,Heat; Air quality,,,,
,2755,Ng 2024,Affective Sensitivity to Air Pollution (ASAP): Person-specific associations between daily air pollution and affective states.,Consensus,Affective Sensitivity to Air Pollution (ASAP): Person-specific associations between daily air pollution and affective states,"Ng, 2024",Research study,Adults in Pennsylvania,US,No,Pulmonary,Air quality,None,,"Intraindividual Study of Affect, Health, and Interpersonal Behavior (iSAHIB) and EPA compilation of air pollution data",Provides evidence for affective sensitivity to air pollution (ASAP) measurement to demonstrate an individual's day-to-day sensitivity to climate change.
,2730,Sheng 2024,Associations between flood risk and US Census tract-level health outcomes.,Consensus,Associations between flood risk and US Census tract–level health outcomes,"Sheng, 2024",Research study,US population,US,No,Cardiovascular; Pulmonary; Mental health,Flood,None,,"First Street Foundation data, US census",Provides a country-level view of health risks after flooding using a large-scale epidemiological approach. 
,2707,Bennett 2024,Environmental Risk Factors for Acute Respiratory Distress Syndrome.,Consensus,Environmental Risk Factors for Acute Respiratory Distress Syndrome.,Bennett 2024,Research study,,US,No,Pulmonary,Air quality,None,,NA,"I could not find the full text through the intitial google search, but the abstract mentions affects of air pollution and cigarette smoke on pulmonary health"
,2684,Jordan 2024,Association Between Self-Reported Protective Behavior and Heat-Associated Health Complaints Among Patients With Chronic Diseases in Primary Care: Results of the CLIMATE Pilot Cohort Study.,Consensus,Association Between Self-Reported Protective Behavior and Heat-Associated Health Complaints Among Patients With Chronic Diseases in Primary Care: Results of the CLIMATE Pilot Cohort Study,"Jordan, 2024",Research study,18 years and older with a chronic disease,Germany,No,Cardiovascular,Heat,None,,,Evaluates the impact of weather on health complaints to inform the chronic disease surveillance research during climate change.
,9307,Smith 2023,Spatial proximity to wildfires as a proxy for measuring PM2.5: A novel method for estimating exposures in rural settings,Consensus,Spatial proximity to wildfires as a proxy for measuring PM2.5: A novel method for estimating exposures in rural settings,"Smith, 2023",Research study,Alaskans,Alaska,No,Pulmonary,Fire,,,Behavioral Risk Factor Surveillance System (BRFSS) survey; US Census; Alaska Bureau of Labor Statistics; Alaska Inter-agency Coordination Center’s combined fire geodatabase,
,8197,Ebi 2020,Extreme Weather and Climate Change: Population Health and Health System Implications,Consensus,Extreme Weather and Climate Change: Population Health and Health System Implications,"Ebi, 2020",Editorial comment piece,,,No,,,,climate-resilient health systems; vulnerability and adaptation assessments ,,"While most of these [climate] events cannot be completely avoided, many of the health risks could be prevented through building climate-resilient health systems with improved risk reduction, preparation, response, and recovery. Conducting vulnerability and adaptation assessments and developing health system adaptation plans can identify priority actions to effectively reduce risks, such as disaster risk management and more resilient infrastructure"
,7983,Martinez 2020,25.2 CLIMATE CHANGE AND HURRICANES: THE EFFECT OF HURRICANE-RELATED STRESS ON INFANT TEMPERAMENT,Consensus,CLIMATE CHANGE AND HURRICANES: THE EFFECT OF HURRICANE-RELATED STRESS ON INFANT TEMPERAMENT,"Martinez, 2020",Research study,"54 mother–infant dyads from the
ongoing Health for Life in Singapore",PR,Children; Pregnant persons/ people of childbearing age,"Mental health; Other: negative affect, effortful control in infants",Storm,,,,
,2533,Giles 2024,Running Through the Haze: How Wildfire Smoke Affects Physical Activity and Mental Well-Being.,Consensus,Running Through the Haze: How Wildfire Smoke Affects Physical Activity and Mental Well-Being,"Giles, 2024",Research study,Survey Participants,British Columbia and Washington state,No,Physical activity; Mental health,Fire; Air quality,None,,,
,2529,Gong 2024,Association of Ozone and Temperature with Ischemic Heart Disease Mortality Risk: Mediation and Interaction Analyses.,Consensus,Association of Ozone and Temperature with Ischemic Heart Disease Mortality Risk: Mediation and Interaction Analyses,"Gong, 2024",,IHD patients ,China,No,Cardiovascular,Air quality,None,,,"Evaluates ozone as a moderator for temperature changes and mortality, providing basis for regulation of ozone and temperature."
,1639,Heaney 2019,Climate change and physical activity: Estimated impacts of ambient temperatures on bikeshare usage in new york city,Consensus,Climate change and physical activity: Estimated impacts of ambient temperatures on bikeshare usage in new york city,"Heany, 2019",Research study,,"NYC, USA",No,Physical activity,Heat; Air quality,None,,Citibike bikeshare data,Evaluates the impact of ambient temperature on bike-share usage as a means of sustainable transportation and physical activity.
,1147,Kalkstein 1989,Weather and Human Mortality: An Evaluation of Demographic and Interregional Responses in the United States,Consensus,Weather and Human Mortality: An Evaluation of Demographic and Interregional Responses in the United States,"Laurence Kalkstein, 1989",Research study,People from 44 US Cities,United States,No,Cardiovascular; Other: Weather-related mortality,Heat; Air quality,None,,,Old but has some approaches valuable comparing health outcomes across states 
